t, eta
0.000000000000000000e+00,5.642550529551215895e-03
6.006006006006005954e-02,4.437784635019511106e-03
1.201201201201201191e-01,5.454727297945449922e-03
1.801801801801801717e-01,8.420977716222572199e-03
2.402402402402402382e-01,1.301178303790281356e-02
3.003003003003003046e-01,1.885841022082801813e-02
3.603603603603603434e-01,2.555747305776315259e-02
4.204204204204204376e-01,3.268100331261705738e-02
4.804804804804804763e-01,3.978704729666894535e-02
5.405405405405405705e-01,4.643056513323208512e-02
6.006006006006006093e-01,5.217440899988602665e-02
6.606606606606606480e-01,5.660015845377116411e-02
7.207207207207206867e-01,5.931859528443202828e-02
7.807807807807807254e-01,5.997960705510041457e-02
8.408408408408408752e-01,5.828131754906579892e-02
9.009009009009009139e-01,5.397825379450066352e-02
9.609609609609609526e-01,4.688837333722917916e-02
1.021021021021021102e+00,3.689879215480831171e-02
1.081081081081081141e+00,2.397007325831635588e-02
1.141141141141141180e+00,8.138958785236452206e-03
1.201201201201201219e+00,-1.048054564285615109e-02
1.261261261261261257e+00,-3.169779633779724881e-02
1.321321321321321296e+00,-5.524787651089648616e-02
1.381381381381381335e+00,-8.079569551547823025e-02
1.441441441441441373e+00,-1.079417797550548536e-01
1.501501501501501412e+00,-1.362296736884275328e-01
1.561561561561561451e+00,-1.651548296444323716e-01
1.621621621621621712e+00,-1.941748257041996106e-01
1.681681681681681750e+00,-2.227207128778460610e-01
1.741741741741741789e+00,-2.502092574518885448e-01
1.801801801801801828e+00,-2.760558130150855272e-01
1.861861861861861867e+00,-2.996875305762512487e-01
1.921921921921921905e+00,-3.205565955888516338e-01
1.981981981981981944e+00,-3.381531686845444251e-01
2.042042042042042205e+00,-3.520177033886643381e-01
2.102102102102102243e+00,-3.617523197011195402e-01
2.162162162162162282e+00,-3.670309275368078272e-01
2.222222222222222321e+00,-3.676078186717345875e-01
2.282282282282282360e+00,-3.633244797214053579e-01
2.342342342342342398e+00,-3.541144211247236884e-01
2.402402402402402437e+00,-3.400058671049211445e-01
2.462462462462462476e+00,-3.211222077945105613e-01
2.522522522522522515e+00,-2.976801755202730937e-01
2.582582582582582553e+00,-2.699857707919168237e-01
2.642642642642642592e+00,-2.384280277978439722e-01
2.702702702702702631e+00,-2.034707720614916393e-01
2.762762762762762669e+00,-1.656425822112722601e-01
2.822822822822822708e+00,-1.255252214917156328e-01
2.882882882882882747e+00,-8.374085076494025559e-02
2.942942942942942786e+00,-4.093837161782511169e-02
3.003003003003002824e+00,2.220725606688704699e-03
3.063063063063062863e+00,4.507661954533898063e-02
3.123123123123122902e+00,8.698512987927642381e-02
3.183183183183182940e+00,1.273310227333486755e-01
3.243243243243243423e+00,1.655402911938080035e-01
3.303303303303303462e+00,2.010910871553339141e-01
3.363363363363363501e+00,2.335230256692613637e-01
3.423423423423423539e+00,2.624446369550946789e-01
3.483483483483483578e+00,2.875388024123289865e-01
3.543543543543543617e+00,3.085660772137127639e-01
3.603603603603603656e+00,3.253658710629300232e-01
3.663663663663663694e+00,3.378555280383830905e-01
3.723723723723723733e+00,3.460274136789945332e-01
3.783783783783783772e+00,3.499441802291435866e-01
3.843843843843843811e+00,3.497324370357525192e-01
3.903903903903903849e+00,3.455751005163156253e-01
3.963963963963963888e+00,3.377027352381604675e-01
4.024024024024024371e+00,3.263842231956671780e-01
4.084084084084084409e+00,3.119171114927067334e-01
4.144144144144144448e+00,2.946179889438772515e-01
4.204204204204204487e+00,2.748132296775689376e-01
4.264264264264264526e+00,2.528304172055846344e-01
4.324324324324324564e+00,2.289907266117302553e-01
4.384384384384384603e+00,2.036024969083637115e-01
4.444444444444444642e+00,1.769561719762902108e-01
4.504504504504504681e+00,1.493207288890348872e-01
4.564564564564564719e+00,1.209416490940446731e-01
4.624624624624624758e+00,9.204042327564344872e-02
4.684684684684684797e+00,6.281551719627657959e-02
4.744744744744744835e+00,3.344466579496400277e-02
